error_type,severity,injection_step,obs_step,propagation_rate,survival_score
semantic,3,search,search,0.0,0.22712608695652173
semantic,3,search,filter,0.0,0.05762608695652174
semantic,3,search,summarize,0.0,0.01574782608695652
semantic,3,search,compose,0.0,0.007460869565217391
semantic,3,search,verify,0.0,0.0027434782608695652
semantic,3,filter,search,,
semantic,3,filter,filter,0.0,0.1951448275862069
semantic,3,filter,summarize,0.0,0.03519137931034483
semantic,3,filter,compose,0.0,0.01685344827586207
semantic,3,filter,verify,0.0,0.004396551724137931
semantic,3,summarize,search,,
semantic,3,summarize,filter,,
semantic,3,summarize,summarize,0.0,0.26435405405405404
semantic,3,summarize,compose,0.0,0.03368108108108108
semantic,3,summarize,verify,0.0,0.008108108108108109
semantic,3,compose,search,,
semantic,3,compose,filter,,
semantic,3,compose,summarize,,
semantic,3,compose,compose,0.0,0.3
semantic,3,compose,verify,0.0,0.0
semantic,2,search,search,0.0,0.2602127659574468
semantic,2,search,filter,0.0,0.05617021276595745
semantic,2,search,summarize,0.0,0.01170212765957447
semantic,2,search,compose,0.0,0.0
semantic,2,search,verify,0.0,0.0
semantic,2,filter,search,,
semantic,2,filter,filter,0.0,0.23809523809523808
semantic,2,filter,summarize,0.0,0.027301587301587302
semantic,2,filter,compose,0.0,0.015079365079365078
semantic,2,filter,verify,0.0,0.007142857142857142
semantic,2,summarize,search,,
semantic,2,summarize,filter,,
semantic,2,summarize,summarize,0.0,0.24157894736842103
semantic,2,summarize,compose,0.0,0.015789473684210527
semantic,2,summarize,verify,0.0,0.007894736842105263
semantic,2,compose,search,,
semantic,2,compose,filter,,
semantic,2,compose,summarize,,
semantic,2,compose,compose,0.0,0.2785714285714286
semantic,2,compose,verify,0.0,0.010714285714285714
semantic,1,search,search,0.0,0.24107142857142858
semantic,1,search,filter,0.0,0.05178571428571428
semantic,1,search,summarize,0.0,0.019642857142857146
semantic,1,search,compose,0.0,0.01607142857142857
semantic,1,search,verify,0.0,0.005357142857142857
semantic,1,filter,search,,
semantic,1,filter,filter,0.0,0.2421052631578947
semantic,1,filter,summarize,0.0,0.010526315789473684
semantic,1,filter,compose,0.0,0.010526315789473684
semantic,1,filter,verify,0.0,0.0
semantic,1,summarize,search,,
semantic,1,summarize,filter,,
semantic,1,summarize,summarize,0.0,0.2804878048780488
semantic,1,summarize,compose,0.0,0.014634146341463414
semantic,1,summarize,verify,0.0,0.0
semantic,1,compose,search,,
semantic,1,compose,filter,,
semantic,1,compose,summarize,,
semantic,1,compose,compose,0.0,0.28518518518518515
semantic,1,compose,verify,0.0,0.011111111111111112
factual,1,search,search,1.0,0.8360377777777777
factual,1,search,filter,0.37777777777777777,0.3160955555555555
factual,1,search,summarize,0.2222222222222222,0.17536444444444443
factual,1,search,compose,0.08888888888888889,0.1045288888888889
factual,1,search,verify,0.06666666666666667,0.07136222222222223
factual,1,filter,search,,
factual,1,filter,filter,1.0,0.8151622950819671
factual,1,filter,summarize,0.16393442622950818,0.1580655737704918
factual,1,filter,compose,0.08196721311475409,0.10920819672131148
factual,1,filter,verify,0.04918032786885246,0.0742016393442623
factual,1,summarize,search,,
factual,1,summarize,filter,,
factual,1,summarize,summarize,1.0,0.8134105263157896
factual,1,summarize,compose,0.05263157894736842,0.08873333333333334
factual,1,summarize,verify,0.03508771929824561,0.06522456140350877
factual,1,compose,search,,
factual,1,compose,filter,,
factual,1,compose,summarize,,
factual,1,compose,compose,1.0,0.7599555555555555
factual,1,compose,verify,0.0,0.05243333333333333
factual,3,search,search,1.0,0.7644975
factual,3,search,filter,0.225,0.0729925
factual,3,search,summarize,0.15,0.068645
factual,3,search,compose,0.125,0.058747499999999994
factual,3,search,verify,0.05,0.053405
factual,3,filter,search,,
factual,3,filter,filter,1.0,0.739992
factual,3,filter,summarize,0.88,0.24116400000000002
factual,3,filter,compose,0.28,0.08224000000000001
factual,3,filter,verify,0.16,0.056875999999999996
factual,3,summarize,search,,
factual,3,summarize,filter,,
factual,3,summarize,summarize,1.0,0.6600931818181818
factual,3,summarize,compose,0.4772727272727273,0.10022954545454545
factual,3,summarize,verify,0.2727272727272727,0.04274090909090909
factual,3,compose,search,,
factual,3,compose,filter,,
factual,3,compose,summarize,,
factual,3,compose,compose,1.0,0.2227888888888889
factual,3,compose,verify,0.2222222222222222,0.0361
factual,2,search,search,1.0,0.772605
factual,2,search,filter,0.45,0.25866500000000003
factual,2,search,summarize,0.075,0.10669999999999999
factual,2,search,compose,0.075,0.0894775
factual,2,search,verify,0.05,0.07385749999999999
factual,2,filter,search,,
factual,2,filter,filter,1.0,0.7703333333333333
factual,2,filter,summarize,0.6060606060606061,0.3093090909090909
factual,2,filter,compose,0.18181818181818182,0.1027939393939394
factual,2,filter,verify,0.12121212121212122,0.07189090909090909
factual,2,summarize,search,,
factual,2,summarize,filter,,
factual,2,summarize,summarize,1.0,0.775145
factual,2,summarize,compose,0.15,0.09464
factual,2,summarize,verify,0.1,0.0574025
factual,2,compose,search,,
factual,2,compose,filter,,
factual,2,compose,summarize,,
factual,2,compose,compose,1.0,0.51154
factual,2,compose,verify,0.2,0.06692000000000001
omission,2,search,search,0.9347826086956522,0.2983521739130435
omission,2,search,filter,0.8478260869565217,0.2352804347826087
omission,2,search,summarize,0.8695652173913043,0.20701521739130435
omission,2,search,compose,0.8260869565217391,0.18121086956521737
omission,2,search,verify,0.782608695652174,0.16452391304347827
omission,2,filter,search,,
omission,2,filter,filter,0.8461538461538461,0.40768269230769233
omission,2,filter,summarize,0.8653846153846154,0.3298576923076923
omission,2,filter,compose,0.8269230769230769,0.29710192307692307
omission,2,filter,verify,0.6923076923076923,0.1827769230769231
omission,2,summarize,search,,
omission,2,summarize,filter,,
omission,2,summarize,summarize,0.56,0.18259799999999998
omission,2,summarize,compose,0.46,0.160636
omission,2,summarize,verify,0.34,0.154114
omission,2,compose,search,,
omission,2,compose,filter,,
omission,2,compose,summarize,,
omission,2,compose,compose,0.034482758620689655,0.11804137931034483
omission,2,compose,verify,0.034482758620689655,0.09924827586206897
omission,3,search,search,0.7941176470588235,0.12099705882352942
omission,3,search,filter,0.7941176470588235,0.09641176470588235
omission,3,search,summarize,0.7941176470588235,0.09066470588235294
omission,3,search,compose,0.7352941176470589,0.08080882352941177
omission,3,search,verify,0.7058823529411765,0.07755588235294117
omission,3,filter,search,,
omission,3,filter,filter,0.5714285714285714,0.14787142857142857
omission,3,filter,summarize,0.5714285714285714,0.12005238095238095
omission,3,filter,compose,0.5714285714285714,0.11388571428571428
omission,3,filter,verify,0.5714285714285714,0.10221904761904763
omission,3,summarize,search,,
omission,3,summarize,filter,,
omission,3,summarize,summarize,0.7142857142857143,0.08262857142857143
omission,3,summarize,compose,0.8571428571428571,0.08535714285714287
omission,3,summarize,verify,0.7142857142857143,0.12327142857142857
omission,3,compose,search,,
omission,3,compose,filter,,
omission,3,compose,summarize,,
omission,3,compose,compose,0.4074074074074074,0.09482222222222222
omission,3,compose,verify,0.4074074074074074,0.1125037037037037
omission,1,search,search,0.72,0.327482
omission,1,search,filter,0.64,0.247512
omission,1,search,summarize,0.58,0.21141400000000002
omission,1,search,compose,0.58,0.202572
omission,1,search,verify,0.54,0.162014
omission,1,filter,search,,
omission,1,filter,filter,0.6,0.354142
omission,1,filter,summarize,0.62,0.310362
omission,1,filter,compose,0.52,0.220852
omission,1,filter,verify,0.4,0.121806
omission,1,summarize,search,,
omission,1,summarize,filter,,
omission,1,summarize,summarize,0.3333333333333333,0.12698222222222222
omission,1,summarize,compose,0.3111111111111111,0.12402444444444445
omission,1,summarize,verify,0.24444444444444444,0.11761999999999999
